0,1,2,3,4,5,6,7
2019-10-11 12:21:59,"RT @Musa__Bagudu: Hey!... Its #freakyfridayfreestyle again!.
@Voice2rep @falzthebahdguy @choccitymusic @NLinNigeria
say no to #sexforgrades…",en,"Abuja, Nigeria",False,Twitter for Android,1,0
2019-10-11 12:21:35,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"North-West, NG.🇳🇬",False,Twitter for Android,2980,0
2019-10-11 12:21:31,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Rock City,False,Twitter for Android,2980,0
2019-10-11 12:21:23,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,oluyole estate,False,Twitter for Android,2980,0
2019-10-11 12:21:19,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,SOLITUDE,False,Twitter Web App,2980,0
2019-10-11 12:21:18,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Jos, Nigeria",False,Twitter for iPhone,2980,0
2019-10-11 12:20:34,"RT @kikimordi: Hey I forgot to mention that we hit a million views in two days!
How cool is that? @BBCAfrica
#BBCAfricaEye #SexForGrades…",en,,False,Twitter for iPhone,168,0
2019-10-11 12:20:06,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,On your TL,False,Twitter for Android,2980,0
2019-10-11 12:19:52,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Lagos, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:19:52,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Lagos ,False,Twitter Web App,2980,0
2019-10-11 12:19:48,"RT @Martinez_Elin: @LadyElenaUK @aaronwilly4 @hrw @BBCAfrica @kikimordi And, let's be clear: Most adults in these positions are aware that…",en,Global,False,Twitter for Android,3,0
2019-10-11 12:19:41,"RT @Martinez_Elin: @LadyElenaUK @aaronwilly4 @hrw @BBCAfrica @kikimordi And, let's be clear: Most adults in these positions are aware that…",en,Hard Court,False,Twitter for iPhone,3,0
2019-10-11 12:19:41,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Kano nigeria,False,Twitter for Android,2980,0
2019-10-11 12:19:32,"RT @AfricaCheck: This week in our newsletter, we looked at the breast #cancer risk from #soya, early death from sitting &amp; #sexforgrades in…",en,Kenya,False,Twitter Web App,3,0
2019-10-11 12:19:31,"RT @AmnestyNigeria: Sexual activity obtained by means of force, threat, intimidation or fear of harm is sex without consent. It is rape. #S…",en,Lagos Nigeria,False,Twitter for Android,58,0
2019-10-11 12:19:24,"RT @Inolikulia: An Interview With Kiki Mordi, the Nigerian Journalist Behind the BBC’s #SexForGrades Documentary - OkayAfrica https://t.co/…",en,Somewhere in Africa,False,Twitter for iPhone,14,0
2019-10-11 12:19:23,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Planet earth!,False,Twitter for Android,2980,0
2019-10-11 12:19:22,"RT @that_blaq_boi: Legon fuo di3 everything you wan chop first...Sex grades u dey top, Suicide u take, Chalewote u conquer and afters paren…",en,Oxymoron,False,Twitter Web App,10,0
2019-10-11 12:19:20,"RT @Martinez_Elin: @LadyElenaUK @aaronwilly4 @hrw @BBCAfrica @kikimordi And, let's be clear: Most adults in these positions are aware that…",en,"Lagos, Nigeria",False,Twitter for Android,3,0
2019-10-11 12:19:19,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Cape Town, South Africa",False,Twitter for Android,2980,0
2019-10-11 12:19:05,"RT @Eldeezy_Live: Wo nim ade3 koraa wonto lecturer ni girl✅ ... thank you #BBCAfricaneye 
#SexForGrades
#Legon #KNUST #UCC https://t.co/jnH…",en,,False,Twitter for Android,9,0
2019-10-11 12:18:46,"RT @emekachukwuleta: I lost the scholarship, but today I feel joy that I can join my voice with @kikimordi  and all the other bold women wh…",en,Africa,False,Twitter Web App,703,0
2019-10-11 12:18:44,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,Nigeria,False,Twitter for Android,497,0
