0,1,2,3,4,5,6,7
2019-10-08 19:44:11,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,404 Not Found,False,Twitter for Android,212,0
2019-10-08 19:40:42,People are willingly listing out names of lecturers practicing #SexForGrades in our institutions. I urge the… https://t.co/NzMegDxKQk,en,Abuja.nigeria,False,Twitter for Android,0,1
2019-10-08 19:40:23,People are willingly listing out names of lecturers practicing #SexForGrades in our institutions. I urge the… https://t.co/u8JSwVhYLv,en,"Abuja, Nigeria",False,Twitter for Android,0,2
2019-10-08 19:27:13,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,"Lagos, Nigeria",False,Twitter for Android,212,0
2019-10-08 19:05:52,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,"Lagos, Nigeria",False,Twitter for Android,212,0
2019-10-08 18:45:36,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,,False,Twitter for iPhone,212,0
2019-10-08 18:40:22,Thank you @ToyinSaraki &amp; @femigbaja for lending your voices on #SexForGrades . #DrBoniface must get what is coming… https://t.co/zhMpNAFHsy,en,"Johannesburg, South Africa",False,Twitter for iPhone,0,2
2019-10-08 18:38:06,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,"Abuja, Nigeria",False,Twitter for Android,40,0
2019-10-08 18:14:36,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,"Lagos, Nigeria",False,Twitter for Android,212,0
2019-10-08 18:08:37,"RT @Post_Nigeria: What Should Be The Punishment For Lecturers Who Sexually Harrass Students? #SexforGrades

VISIT https://t.co/3XQz7qYk1a…",en,Abuja,False,Twitter for Android,11,0
2019-10-08 18:07:43,"RT @Post_Nigeria: What Should Be The Punishment For Lecturers Who Sexually Harrass Students? #SexforGrades

VISIT https://t.co/3XQz7qYk1a…",en,"Abuja, Nigeria",False,Twitter for Android,11,0
2019-10-08 18:06:28,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Inside Life,False,Twitter for Android,57,0
2019-10-08 17:51:00,"✅✅CONGRATULATIONS ✅✅

 TODAY'S EARLY GAME WON WON WON

🍹🍻🍹🍾🍻
#forex #Falz #Forgiveness #ForAGreaterLagos… https://t.co/G0wiobZpKy",en,Nigeria ,False,Twitter for Android,0,0
2019-10-08 17:23:47,"RT @wavy_tycoon: Since they decided not to talk about #sexforgrades #DrBoniface so I came up with this short freestyle.. 
kindly retweet an…",en,Nigeria,False,Twitter for iPhone,2,0
2019-10-08 17:15:44,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,LAGOS,False,Twitter for Android,40,0
2019-10-08 17:09:38,"Before your daughter fills the Jamb form,find out if the schools of her choice has ""cold room"" oooo....I don't talk… https://t.co/fTrXNWoNcd",en,Nigeria,False,Facebook,0,1
2019-10-08 16:50:45,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,"Kebbi, Nigeria",False,Twitter for Android,212,0
2019-10-08 16:49:07,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Sumwer in the Middle of Ghana,False,Twitter for Android,57,0
2019-10-08 16:46:59,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,"Lagos, Nigeria",False,Twitter for Android,212,0
2019-10-08 16:42:38,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,Lagos/Akure,False,Twitter for Android,212,0
2019-10-08 16:30:22,RT @AdogaMikeOyi: #SexForGrades Lecturers. @Tev_Media1 wishes to joyously  partner @BBCAfrica in making sure the inhumane lecturers perpetr…,en,"Cross River, Nigeria",False,Twitter for Android,2,0
2019-10-08 16:29:56,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Where shrimps are found,False,Twitter Web App,57,0
2019-10-08 16:27:16,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,nigeria,False,Twitter for Android,212,0
2019-10-08 16:22:34,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Ghana,False,Twitter for Android,57,0
2019-10-08 16:21:17,"Since they decided not to talk about #sexforgrades #DrBoniface so I came up with this short freestyle.. 
kindly ret… https://t.co/KwHdDaBMQi",en,   Dongominoyaro,False,Twitter for iPhone,2,2
2019-10-08 16:19:28,I just heard #DrBoniface attempted suicide last night... Jezzz I just hope this isn't true. He should not die o. Th… https://t.co/q1rtLxmFY3,en,"Lagos, Nigeria",False,Twitter for Android,1,2
2019-10-08 16:18:28,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,"Accra, Ghana",False,Twitter for Android,57,0
2019-10-08 16:12:41,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,"Lagos, Nigeria",False,Twitter Web App,212,0
2019-10-08 15:54:22,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Worldwide,False,Twitter for Android,57,0
2019-10-08 15:53:42,"RT @EmmanuelLinco19: Thank you sir, you are marvellous @MrDavidFixed1 .
#vanguardnews #TachaTrueTalkTuesday #Bet2Win #Bet9jaResponsibleGami…",en,,False,Twitter for Android,2,0
2019-10-08 15:52:58,"RT @EmmanuelLinco19: Thank you sir, you are marvellous @MrDavidFixed1 .
#vanguardnews #TachaTrueTalkTuesday #Bet2Win #Bet9jaResponsibleGami…",en,,False,Twitter for Android,2,0
2019-10-08 15:52:54,"Thank you sir, you are marvellous @MrDavidFixed1 .
#vanguardnews #TachaTrueTalkTuesday #Bet2Win… https://t.co/wHME23OzXe",en,,False,Twitter for Android,2,3
2019-10-08 15:51:29,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Ghana,False,Twitter for Android,57,0
2019-10-08 15:44:58,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,🇳🇬,False,Twitter for iPhone,212,0
2019-10-08 15:39:43,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,Earth 🌍,False,Twitter for iPhone,212,0
2019-10-08 15:39:35,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Kasoa(Ghana),False,Twitter Web App,57,0
2019-10-08 15:38:02,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Tema,False,Twitter for Android,57,0
