"name","username","time","timestamp","text"
"PATRIOT","@scarfizal","Oct 8, 2019 6:22 AM","1570512137","
  #SexForGrades: UNILAG students speak on experience with randy lecturer https://www.premiumtimesng.com/news/top-news/356420-sexforgrades-unilag-students-speak-on-experience-with-randy-lecturer.html …
"
"PATRIOT","@scarfizal","Oct 8, 2019 6:20 AM","1570512057","
  BREAKING: #SexForGrades: UNILAG shuts down 'Cold Room', where lecturers 'sexually harass' students https://www.premiumtimesng.com/news/headlines/356410-breaking-sexforgrades-unilag-shuts-down-cold-room-where-lecturers-sexually-harass-students.html …
"
"Unilag Reporters","@ReportersUnilag","Oct 8, 2019 6:19 AM","1570511954","
  He has been suspended, barred from unilag and the “cold room” shut down.
"
"Tayo Banjo","@t4tayo","Oct 8, 2019 6:19 AM","1570511946","
  Unilag shutdown 'Cold Room' where lecturers usually take students to for sexual  escapades.

Read more: http://bit.ly/coldroomshut http://bit.ly/coldroomshut 
"
"Unilag Reporters","@ReportersUnilag","Oct 8, 2019 6:18 AM","1570511929","
  He has been suspended, barred from unilag and the “cold room” shut down.
"
"The Glitters Online","@theglittersng","Oct 8, 2019 6:15 AM","1570511744","
  SexForGrades: No More ‘Cold Room Experience’ As UNILAG Shuts Down Location - http://bit.ly/30Yjqsu 
"
"Leading Nigeria's Conversation","@LNCtoday","Oct 8, 2019 6:15 AM","1570511731","
  ‘Don’t put unnecessary pressure on me’ — randy UNILAG lecturer breaks silence | TheCable https://www.thecable.ng/dont-put-unnecessary-pressure-on-me-randy-unilag-lecturer-breaks-silence …
"
"Sandy rukky","@Girlsglobe3","Oct 8, 2019 6:14 AM","1570511682","
  #bbcnews This man is another predator in unilag as he confessed to me that he always takes small small girls to hotel and that they enjoy doing it with him. He began disturbing me for sex too. Here is his number 08065432014 pic.twitter.com/VOJpCaTIeB
"
"YOUR PERSONAL SHOPPER For Nigeria","@BrunoTheMerch","Oct 8, 2019 6:14 AM","1570511649","
  @IphyQ @unilag_badass @UncleAdigun_ @iamfemifactor @iamjaiyeer @ife_luv12 @IyawoThickaBody @itshimolaa @itsTomiwa @thepamilerin @fayokunmii @FunmiKolz @temmyponle @matthewamad @mzgbeborun @precious_chee @Assistant_BF @colomental_ @beegblackC please help me RT
"
"Sandy rukky","@Girlsglobe3","Oct 8, 2019 6:14 AM","1570511646","
  #bbcnews This man is another predator in unilag as he confessed to me that he always takes small small girls to hotel and that they enjoy doing it with him. He began disturbing me for sex too. Here is his number 08065432014#SexForGrades pic.twitter.com/f81RSQVgEc
"
