"name","username","time","timestamp","text","location"
"Sonia Ahanmisi","@Sonia_Ize","Oct 14, 2019 1:10 PM","1571055026","
  Yeah... A student's NO should count at all times. @DFID_UK @NOA_Nigeria @nassnigeria @ICPC_PE @waizhanson @I_williamsdavid  

No #Sex4Grades https://twitter.com/YAFng/status/1183708292079595520 …
","Nigeria"
"Kayeon Onyeka Ajah","@kayeononyeka","Oct 14, 2019 1:09 PM","1571054946","
  Yes, together we can

#sex4grades https://twitter.com/YAFng/status/1183704206672355329 …
","Uyo, Nigeria."
"Kayeon Onyeka Ajah","@kayeononyeka","Oct 14, 2019 1:07 PM","1571054870","
  It's an epidemic, it starts as early as even Nursery school. Parents will play a huge role here in monitoring their wards and educating them. #sex4grades https://twitter.com/YAFng/status/1183707150725668864 …
","Uyo, Nigeria."
"Kayeon Onyeka Ajah","@kayeononyeka","Oct 14, 2019 1:03 PM","1571054615","
  Bringing back sanity to our university. #sex4grades https://twitter.com/YAFng/status/1183710712662761472 …
","Uyo, Nigeria."
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:55 PM","1571054111","
  #Sex4Grades #NoShiShi4Bribe #YouthsOrganizingChanges #MadACTpic.twitter.com/4PlpLZ0LTl
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:46 PM","1571053600","
  More pictures from the event @NOA_Nigeria @NOA_Nigeria @DFID_UK @nassnigeria @ICPC_PE #Sex4Grades #NoShiShi4Bribe #MadACTpic.twitter.com/bHHdptVGuS
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:42 PM","1571053365","
  A Cross Section if the event @DFID_UK @ICPC_PE @nassnigeria @NOA_Nigeria #Sex4Grades #YouthsOrganizingStudents #MadACTpic.twitter.com/KA1zMLkI7F
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:37 PM","1571053023","
  Responding to the question of prostitution and being sexually harrased, the SUG vice president stated that consent is the factor that shouldn't be neglected. Females who do not give consent should not be harrased. #Sex4Grades #YouthsOrganzingChange #StudentsOrganizingChangepic.twitter.com/zmXGU6xngu
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:34 PM","1571052873","
  Disclosing the existence of Anti corruption and transparency monitoring unit (ACTMU)
The ICPC representative stated that there is a pecial unit of the ICPC that specially addresses issues of sexual harassment. #Sex4Grades @ICPC_PE @nassnigeria @dfid_ukpic.twitter.com/z5USLbWQWH
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:32 PM","1571052751","
  Recounting an experience where children were Harrased by primary school teachers, one of the audience stated that it is vital to have an early fight of sexual harrasment to include children who are exposed @nassnigeria @ICPC_PE #Sex4Grades #MadACTpic.twitter.com/YETtkGsflr
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:30 PM","1571052601","
  The representative of the deputy Senate president responding to one of the questions raised by audience said: 
Stated that aside the vice Chancellor for instance any other staff should uphold commitment to the prevention of sexual harrasment at all level. @nassnigeria #Sex4Grades pic.twitter.com/IdyYfsFOle
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:27 PM","1571052468","
  The Executive Director addressed questions raised by the audience.

Question on: 
Prevalence and the veil of using authority and cabal to cover the issue of #Sex4Grades citing responses from one of the higher institution surveyed. #Sex4Grades #MadACTpic.twitter.com/xS7JYbHXKe
","Nigeria"
"Youth Alive Foundation","@YAFng","Oct 14, 2019 12:25 PM","1571052305","
  Questions and contributions from the audience. #Sex4Grades #NoShiShi4Bribe #MadACT @ICPC_PE  @nassnigeriapic.twitter.com/vDuYfB7xQ9
","Nigeria"
