"","word","freq"
"tonight","tonight",5
"everywher","everywher",5
"journal","journal",5
"door","door",5
"system","system",5
"mate","mate",5
"anybodi","anybodi",5
"fault","fault",5
"accept","accept",5
"ghanaian","ghanaian",5
"puredr","puredr",5
"sch","sch",5
"project","project",5
"balanc","balanc",5
"disgust","disgust",5
"almost","almost",5
"impact","impact",5
"secret","secret",5
"unfortun","unfortun",5
"complain","complain",5
"fut","fut",5
"ooh","ooh",5
"diss","diss",5
"implement","implement",5
"serious","serious",5
"continu","continu",5
"idea","idea",5
"dead","dead",5
"trend","trend",5
"abigail","abigail",5
"abigaili","abigaili",5
"eeiiiih","eeiiiih",5
"four","four",5
"twice","twice",5
"erelu","erelu",5
"rtjsvdobo","rtjsvdobo",5
"bring","bring",5
"cos","cos",5
"show","show",5
"safeti","safeti",5
"privat","privat",5
"tacharebrand","tacharebrand",5
"actual","actual",5
"grow","grow",5
"import","import",5
"fish","fish",5
"flush","flush",5
"precis","precis",5
"rap","rap",5
"wow","wow",5
"anyon","anyon",5
"brand","brand",5
"captur","captur",5
"big","big",5
"studi","studi",5
"akur","akur",5
"chat","chat",5
"law","law",5
"eee","eee",5
"upsa","upsa",5
"damag","damag",5
"light","light",5
"gradual","gradual",5
"topic","topic",5
"virus","virus",5
"studentsorga","studentsorga",5
"moder","moder",5
"remain","remain",5
"silent","silent",5
"pastor","pastor",4
"african","african",4
"wednesday","wednesday",4
"servic","servic",4
"cse","cse",4
"everyday","everyday",4
"seem","seem",4
"young","young",4
"conclus","conclus",4
"assembl","assembl",4
"bill","bill",4
"propos","propos",4
"vulner","vulner",4
"power","power",4
"year","year",4
"church","church",4
"parent","parent",4
"various","various",4
"someon","someon",4
"protect","protect",4
"bbca","bbca",4
"mixtap","mixtap",4
"youcantgoback","youcantgoback",4
"team","team",4
"meant","meant",4
"asuu","asuu",4
"compar","compar",4
"brain","brain",4
"cart","cart",4
"least","least",4
"mark","mark",4
"pfaunilorin","pfaunilorin",4
"despi","despi",4
"encourag","encourag",4
"platform","platform",4
"afternoon","afternoon",4
"tri","tri",4
"bigger","bigger",4
"china","china",4
"butako","butako",4
"set","set",4
"suicid","suicid",4
"sain","sain",4
"male","male",4
"sen","sen",4
"find","find",4
"transmit","transmit",4
"complet","complet",4
"ktu","ktu",4
"goe","goe",4
"osjovzmvm","osjovzmvm",4
"professor","professor",4
"min","min",4
"formal","formal",4
"left","left",4
"fact","fact",4
"solidar","solidar",4
"support","support",4
"decid","decid",4
"easi","easi",4
"link","link",4
"cultur","cultur",4
"caus","caus",4
"push","push",4
"vapp","vapp",4
"violenc","violenc",4
"degre","degre",4
"especia","especia",4
"rema","rema",4
"money","money",4
"goat","goat",4
"desir","desir",4
"awar","awar",4
"channel","channel",4
"half","half",4
"avoid","avoid",4
"fire","fire",4
"dislik","dislik",4
"ebi","ebi",4
"mendem","mendem",4
"townflex","townflex",4
"gender","gender",4
"saw","saw",4
"tear","tear",4
"shame","shame",4
"scienc","scienc",4
"job","job",4
"advocaci","advocaci",4
"bore","bore",4
"low","low",4
"result","result",4
"agre","agre",4
"live","live",4
"whatif","whatif",4
"obj","obj",4
"uncl","uncl",4
"etc","etc",4
"sexpromot","sexpromot",4
"local","local",4
"catch","catch",4
"dier","dier",4
"fraud","fraud",4
"environ","environ",4
"dis","dis",4
"sexfood","sexfood",4
"sexrent","sexrent",4
"activ","activ",4
"drawn","drawn",4
"medicin","medicin",4
"favor","favor",4
"implor","implor",4
"line","line",4
"respons","respons",4
"survivor","survivor",4
"presid","presid",4
"complic","complic",4
"lord","lord",3
"alleg","alleg",3
"sexforgr","sexforgr",3
"tax","tax",3
"plenti","plenti",3
"alma","alma",3
"program","program",3
"stu","stu",3
"behind","behind",3
"paintak","paintak",3
"instut","instut",3
"lend","lend",3
"voic","voic",3
"help","help",3
"nysc","nysc",3
"statement","statement",3
"develop","develop",3
"proper","proper",3
"view","view",3
"conduct","conduct",3
"trade","trade",3
"mess","mess",3
"prayer","prayer",3
"demand","demand",3
"risk","risk",3
"gjtmoskj","gjtmoskj",3
"meme","meme",3
"thread","thread",3
"unlock","unlock",3
"might","might",3
"blame","blame",3
"vsownjth","vsownjth",3
"though","though",3
"high","high",3
"kid","kid",3
"scandal","scandal",3
"tast","tast",3
"negotiati","negotiati",3
"share","share",3
"sexemploy","sexemploy",3
"diminish","diminish",3
"eye","eye",3
"gtuc","gtuc",3
"affect","affect",3
"tha","tha",3
"ghtoday","ghtoday",3
"famili","famili",3
"dumb","dumb",3
"point","point",3
"pls","pls",3
"prove","prove",3
"serv","serv",3
"busi","busi",3
"ignor","ignor",3
"amaz","amaz",3
"gutter","gutter",3
"lectuer","lectuer",3
"pig","pig",3
"piti","piti",3
"ncuunmygj","ncuunmygj",3
"reach","reach",3
"immedi","immedi",3
"away","away",3
"wit","wit",3
"shs","shs",3
"commend","commend",3
"fat","fat",3
"war","war",3
"jshihkj","jshihkj",3
"outing","outing",3
"weep","weep",3
"jersey","jersey",3
"chick","chick",3
"disgrac","disgrac",3
"foul","foul",3
"lab","lab",3
"place","place",3
"advanc","advanc",3
"intermitt","intermitt",3
"narrat","narrat",3
"norm","norm",3
"birabi","birabi",3
"number","number",3
"bepur","bepur",3
"seri","seri",3
"kind","kind",3
"jazzi","jazzi",3
"moron","moron",3
"igtxwawgc","igtxwawgc",3
"script","script",3
"affin","affin",3
"dropout","dropout",3
"asiri","asiri",3
"eruwa","eruwa",3
"ibadan","ibadan",3
"lautech","lautech",3
"maatu","maatu",3
"yin","yin",3
"theori","theori",3
"pay","pay",3
"may","may",3
"hrrrrrr","hrrrrrr",3
"land","land",3
"mmrs","mmrs",3
"sweet","sweet",3
"yat","yat",3
"ycliqu","ycliqu",3
"lock","lock",3
"discriminatori","discriminatori",3
"codein","codein",3
"enforc","enforc",3
"provid","provid",3
"badegbo","badegbo",3
"dean","dean",3
"express","express",3
"mose","mose",3
"center","center",3
"director","director",3
"medic","medic",3
"repres","repres",3
"sholey","sholey",3
"therefor","therefor",3
"scene","scene",3
"drama","drama",3
"insight","insight",3
"stage","stage",3
"thrill","thrill",3
"advoc","advoc",3
"fddvxqucoo","fddvxqucoo",3
"chamberlain","chamberlain",3
"etukudoh","etukudoh",3
"remark","remark",3
"dollar","dollar",2
"dont","dont",2
"sens","sens",2
"karenthebrand","karenthebrand",2
"nutritionalfact","nutritionalfact",2
"owamb","owamb",2
"promot","promot",2
"train","train",2
"increment","increment",2
"teacher","teacher",2
"best","best",2
"reveal","reveal",2
"sexuallytransmitteddegre","sexuallytransmitteddegre",2
"sec","sec",2
"selv","selv",2
"enl","enl",2
"mater","mater",2
"abi","abi",2
"code","code",2
"expect","expect",2
"kemi","kemi",2
"foot","foot",2
"thi","thi",2
"pervert","pervert",2
"qcpholrca","qcpholrca",2
"lie","lie",2
"politician","politician",2
"seek","seek",2
"across","across",2
"spark","spark",2
"feck","feck",2
"jam","jam",2
"lost","lost",2
"misfortun","misfortun",2
"orishirishi","orishirishi",2
"phone","phone",2
"sar","sar",2
"children","children",2
"drag","drag",2
"home","home",2
"strict","strict",2
"exploit","exploit",2
"scratch","scratch",2
"surfac","surfac",2
"record","record",2
"semest","semest",2
"timelin","timelin",2
"pre","pre",2
"cover","cover",2
"moral","moral",2
"notic","notic",2
"red","red",2
"wave","wave",2
"mute","mute",2
"type","type",2
"manag","manag",2
"sector","sector",2
"oga","oga",2
"bbcafrica","bbcafrica",2
"bless","bless",2
"clear","clear",2
"hour","hour",2
"indec","indec",2
"level","level",2
"reduc","reduc",2
"vibe","vibe",2
"omo","omo",2
"crime","crime",2
"offici","offici",2
"featur","featur",2
"sijilago","sijilago",2
"countri","countri",2
"agenc","agenc",2
"senior","senior",2
"bin","bin",2
"extra","extra",2
"subsequ","subsequ",2
"wanna","wanna",2
"better","better",2
"book","book",2
"messag","messag",2
"revel","revel",2
"collect","collect",2
"nollywood","nollywood",2
"hesit","hesit",2
"ixazysl","ixazysl",2
"addo","addo",2
